crop_id,crop_name,planting_season,source_record_count,total_planted_area_mu,theoretical_production_jin,baseline_expected_sales_proxy_jin,total_planting_cost_yuan,production_weighted_midpoint_price_yuan_per_jin,midpoint_revenue_yuan,smart_greenhouse_first_season_derived_record_count,expected_sales_proxy_assumption,price_assumption
1,黄豆,单季,3,147,57000,57000,58800,3.25,185250,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
2,黑豆,单季,1,46,21850,21850,18400,7.5,163875,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
3,红豆,单季,2,60,22400,22400,21000,8.25,184800,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
4,绿豆,单季,2,96,33040,33040,33600,7,231280,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
5,爬豆,单季,1,25,9875,9875,8750,6.75,66656.25,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
6,小麦,单季,4,222,170840,170840,99900,3.5,597940,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
7,玉米,单季,3,135,132750,132750,67500,3,398250,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
8,谷子,单季,3,185,71400,71400,66600,6.75,481950,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
9,高粱,单季,1,50,30000,30000,20000,6,180000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
10,黍子,单季,1,25,12500,12500,9000,7.5,93750,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
11,荞麦,单季,1,15,1500,1500,5250,40,60000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
12,南瓜,单季,1,13,35100,35100,13000,1.5,52650,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
13,红薯,单季,1,18,36000,36000,36000,3.25,117000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
14,莜麦,单季,1,35,14000,14000,14000,5.5,77000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
15,大麦,单季,1,20,10000,10000,7000,3.5,35000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
16,水稻,单季,2,42,21000,21000,28560,7,147000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
17,豇豆,第一季,4,11.8,36480,36480,24320,8,291840,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
18,刀豆,第一季,3,13.2,26880,26880,13440,6.75,181440,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
19,芸豆,第一季,3,1.8,6480,6480,4320,6.5,42120,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
20,土豆,第一季,1,15,30000,30000,30000,3.75,112500,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
21,西红柿,第一季,2,14.6,35400,35400,29440,6.25,221250,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
21,西红柿,第二季,1,0.3,810,810,792,7.5,6075,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
22,茄子,第一季,2,6.6,43200,43200,13440,5.5,237600,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
22,茄子,第二季,1,0.3,2160,2160,792,6.6,14256,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
23,菠菜,第二季,1,0.3,900,900,900,6.9,6210,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
24,青椒,第一季,1,0.6,1800,1800,1200,5.25,9450,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
24,青椒,第二季,1,0.3,810,810,660,6.8,5508,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
25,菜花,第一季,2,0.9,3600,3600,2700,5.5,19800,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
26,包菜,第一季,2,0.9,4050,4050,3150,6.5,26325,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
27,油麦菜,第一季,2,0.9,4500,4500,1800,5,22500,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
28,小青菜,第一季,2,10.6,34400,34400,17200,5.75,197800,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
28,小青菜,第二季,1,0.3,1080,1080,660,6.9,7452,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
29,黄瓜,第一季,1,0.6,9000,9000,2100,7,63000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
29,黄瓜,第二季,1,0.3,4050,4050,1155,8.4,34020,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
30,生菜,第一季,1,0.3,1500,1500,600,5.25,7875,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
30,生菜,第二季,1,0.3,1350,1350,660,6.3,8505,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
31,辣椒,第一季,1,0.6,1200,1200,720,7.25,8700,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
32,空心菜,第一季,1,0.3,3600,3600,1500,4.5,16200,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
33,黄心菜,第一季,1,0.3,1800,1800,750,4.5,8100,1,2023理论产量代理2023预期销售量,观测销售价格区间中点
34,芹菜,第二季,1,0.3,1800,1800,360,4.8,8640,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
35,大白菜,第二季,3,30,150000,150000,60000,2.5,375000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
36,白萝卜,第二季,2,25,100000,100000,12500,2.5,250000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
37,红萝卜,第二季,1,12,36000,36000,6000,3.25,117000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
38,榆黄菇,第二季,3,1.8,9000,9000,5400,57.5,517500,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
39,香菇,第二季,3,1.8,7200,7200,3600,19,136800,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
40,白灵菇,第二季,3,1.8,18000,18000,18000,16,288000,0,2023理论产量代理2023预期销售量,观测销售价格区间中点
